ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.564205465584,5782.838907702294,24080.255739584194
2014-02-28,5778.539467165996,-3242.26421212609,14893.207070528986
2014-03-31,41875.343940779036,31988.61904234299,51787.29334509811
2014-04-30,25662.72402646995,16153.843054688405,34822.16237083486
2014-05-31,25711.928215513464,16603.790922182914,34859.06880899339
2014-06-30,26711.737279909154,17672.62366098951,35362.51633657122
2014-07-31,26438.13390742553,17489.598397578207,36328.05513309287
2014-08-31,30856.59159901054,21392.013375745395,40323.96539783173
2014-09-30,67621.11814808834,58303.71026103984,77308.92288556407
2014-10-31,36077.38727251069,27229.84280254008,45484.933693577856
2014-11-30,78301.2679129338,69140.44391138866,87556.49126283
2014-12-31,69991.58410010368,60657.924852829325,79736.76601521861
2015-01-31,18738.34117846165,9678.689562176134,27842.21699517995
2015-02-28,13880.715060315462,5667.511999103778,23266.98495100635
2015-03-31,49598.626245044274,39463.88575219587,59070.010399888066
2015-04-30,34576.01666993984,25113.87372082975,43965.30663646395
2015-05-31,26387.6128957342,17598.818205519903,35648.11596856057
2015-06-30,31085.925345756572,21793.92502240245,40167.55218768272
2015-07-31,33255.7204178307,24104.672986818456,42928.14792683458
2015-08-31,40664.29405806122,32147.20182885118,50366.24514841836
2015-09-30,76492.06827627734,66978.0453517282,86232.67282760113
2015-10-31,35984.178313028155,26600.490988271104,45702.26994995745
2015-11-30,86921.1169858535,77627.01889935613,96255.73848901027
2015-12-31,75920.60614383208,66333.4223756119,84857.99585658933
2016-01-31,23165.283678717613,14936.11869468231,32851.51018019517
2016-02-29,14902.055133722413,5893.813293093253,24169.18974944427
2016-03-31,51723.80468207124,42146.036189671824,61132.269640428654
2016-04-30,33016.27789414765,23501.004010575623,42724.54806439389
2016-05-31,49868.21703795316,40459.204711883816,58879.84944056904
2016-06-30,44187.68679095632,34806.29152756919,53680.268707817355
2016-07-31,39287.64332052773,29965.055160655393,48730.78089569781
2016-08-31,37700.2951960092,28213.453219455045,46890.073240146456
2016-09-30,75996.70555247096,66876.95994212976,85206.38975932689
2016-10-31,62955.82738243495,53852.63613203121,72206.72781625765
2016-11-30,88181.70952660832,79145.02157057778,97673.50504218703
2016-12-31,85608.1162922825,76834.88052681577,93972.2265675314
2017-01-31,38211.23616723362,28538.93342720465,48029.8535072462
2017-02-28,25246.659743883814,16071.526338449106,34379.0172587795
2017-03-31,61845.98893247201,52092.019439781674,70735.64293249874
2017-04-30,44535.97356976206,35943.85908560816,53360.51081213033
2017-05-31,53069.81845022775,43581.20064988055,61925.957531534004
2017-06-30,50739.852795818275,41037.84364928693,59953.15986986315
2017-07-31,48243.150747147774,38538.80809092781,57704.34384213113
2017-08-31,49797.13243310233,40960.08626183095,59489.732136749706
2017-09-30,87518.63702366212,78119.20415060944,97082.96867373124
2017-10-31,65271.07068739253,56162.73178289957,73662.32357077827
2017-11-30,99056.32018945433,90188.35617641508,108560.84588051046
2017-12-31,93756.95158437175,84361.73230080324,102894.61505305268
2018-01-31,44491.081304868,35245.59335092005,54087.86340675387
2018-02-28,35661.189751140446,26525.41340922716,45141.239697281366
2018-03-31,71959.64168073208,62739.16428518899,81522.1552190517
2018-04-30,55942.16446579185,45866.36753689336,64885.629925241934
2018-05-31,56193.01611416879,47186.933967948535,66167.8051724435
2018-06-30,57387.9678823171,48371.27199344687,66245.37696670252
2018-07-31,57316.011970394895,48027.33316639974,66574.05604282398
2018-08-31,61936.11712592831,53093.93786639836,71729.64192270933
2018-09-30,98895.78637860224,89285.06676250554,107912.17701204048
2018-10-31,67553.70296351223,57907.536088797286,76380.84995083553
2018-11-30,109972.72630610823,101206.86228869995,119628.79498482042
2018-12-31,101864.68994842502,92243.2219489389,111096.25889160566
